date,station,temperature
2024-01-01,Carcassonne,6.2
2024-01-02,Carcassonne,5.8
2024-01-03,Carcassonne,7.1
2024-01-04,Carcassonne,8.4
2024-01-05,Carcassonne,9.0
2024-01-06,Carcassonne,7.6
2024-01-07,Carcassonne,6.9

2024-01-01,Toulouse,7.4
2024-01-02,Toulouse,6.8
2024-01-03,Toulouse,8.2
2024-01-04,Toulouse,9.1
2024-01-05,Toulouse,10.3
2024-01-06,Toulouse,9.7
2024-01-07,Toulouse,8.9

2024-01-01,Narbonne,9.1
2024-01-02,Narbonne,8.7
2024-01-03,Narbonne,10.0
2024-01-04,Narbonne,11.2
2024-01-05,Narbonne,12.0
2024-01-06,Narbonne,11.4
2024-01-07,Narbonne,10.8
