annee;mois;pluie_obs
1996;1;521.0
1996;2;223.4
1996;3;185.0
1996;4;160.0
1996;5;62.9
1996;6;67.2
1996;7;65.0
1996;8;157.2
1996;9;167.6
1996;10;85.0
1996;11;206.2
1996;12;416.4
2000;1;33.0
2000;2;5.4
2000;3;28.2
2000;4;190.8
2000;5;173.6
2000;6;38.8
2000;7;59.6
2000;8;42.6
2000;9;330.4
2000;10;165.8
2000;11;114.8
2000;12;227.6
2004;1;86.6
2004;2;68.2
2004;3;159.2
2004;4;229.6
2004;5;31.0
2004;6;44.800000000000004
2004;7;2.8
2004;8;187.0
2004;9;245.6
2004;10;222.2
2004;11;42.6
2004;12;207.8
2008;1;111.39999999999999
2008;2;46.4
2008;3;48.8
2008;4;110.2
2008;5;223.4
2008;6;170.6
2008;7;22.8
2008;8;5.2
2008;9;27.400000000000002
2008;10;138.4
2008;11;303.2
2008;12;400.2
2012;1;11.8
2012;2;1.4
2012;3;8.2
2012;4;106.7
2012;5;169.7
2012;6;51.3
2012;7;98.0
2012;8;183.1
2012;9;145.6
2012;10;166.7
2012;11;212.4
2012;12;106.0
2016;1;140.7
2016;2;264.5
2016;3;169.0
2016;4;387.0
2016;5;347.1
2016;6;200.9
2016;7;373.3
2016;8;90.0
2016;9;418.2
2016;10;1692.0
2016;11;374.9
2016;12;376.8
2020;1;270.0
2020;2;25.5
2020;3;117.39999999999999
2020;4;406.3
2020;5;338.6
2020;6;107.0
2020;7;52.0
2020;8;311.8
2020;9;135.2
2020;10;107.4
2020;11;194.5
2020;12;324.8
2024;1;303.3
2024;2;255.0
2024;3;761.8
2024;4;187.3
2024;5;521.4
2024;6;123.10000000000001
2024;7;60.2
2024;8;91.3
2024;9;379.2
2024;10;460.4
2024;11;504.59999999999997
2024;12;93.0
